"","CLNT_ID","SESS_ID","HITS_SEQ","PD_C","PD_ADD_NM","PD_BRA_NM","PD_BUY_AM","PD_BUY_CT"
"2081621",3871092,4438354,85,847078,"상품명:2080 청은차 향기화차 190gx10개 / 1개","애경","10,600","1"
"2081829",4206574,4453436,111,121655,"색상옵션:아이보리|사이즈▽:Free / 1개","오드","10,900","1"
"2081842",4310522,4218890,29,476749,"색상:노팅힐_그레이 / 1개","쉬즈홈","10,900","1"
"2082034",5728698,8333359,24,401344,"4개","닥터아토","10,900","4"
"2082041",5802555,1049599,34,598156,"1개","스킵합","10,900","1"
"2082134",3246516,2296503,32,52220,"사이즈:100 / 1개","나이키","79,000","1"
"2082247",3726485,5183455,40,836558,"종류:01.마모스미니제습기800ml / 1개","마모스","79,000","1"
"2082416",1540446,9116027,2,689777,"사이즈:100 / 1개","나이키","83,300","1"
"2082474",4455676,4658186,18,411381,"색상:옐로우(YE)|사이즈:FREE / 1개","랩","83,300","1"
"2082585",4003408,9147125,75,649760,"색상:540(CAMEL)|사이즈:FF / 1개","더틸버리","83,400","1"
"2082619",6473882,4488264,284,120428,"색상:카키|사이즈:XL / 1개","마운티스트","10,800","1"
"2082649",59014,1390275,13,62286,"색상:차콜 / 1개","쁘리엘르","10,900","1"
"2082793",6302054,4996305,23,140007,"선택:(영실업) B-111 랜덤 부스터 Vol.10 / 1개","영실업","10,500","1"
"2082817",6125536,2833715,80,99100,"색상:그레이|사이즈:M(95) / 1개","캘빈클라인 진","10,530","1"
"2082970",1116372,2541189,14,529238,"색상:BLACK|사이즈:FREE / 1개","세컨스킨","11,000","1"
"2083073",5852997,6943102,80,401344,"1개","닥터아토","10,900","1"
"2083102",6035196,10902204,77,740205,"타입:0010.남/일반사계절/반팔브이넥/화이트|사이즈:110 / 1개","기어엑스","10,900","1"
"2083142",6278410,1870556,80,776719,"선택:핑크 / 1개","필리앤임프스","10,900","1"
"2083166",6512466,4436476,100,655030,"2개","에티튜드","10,900","2"
"2083286",2905811,7006779,47,480686,"사이즈:275 / 1개","나이키","76,300","1"
"2083321",4290878,5941768,173,160434,"상품코드:선택02. 903896-402|사이즈:285 / 1개","나이키","76,300","1"
"2083323",4345316,10915320,15,596818,"사이즈:095 / 1개","아디다스","76,300","1"
"2083710",3308523,4453627,96,150734,"사이즈:28_NESS807100128 / 1개","나이키수영복","80,100","1"
"2083866",1784639,2185128,28,470423,"1개","글램디","10,900","1"
"2083884",1930788,836784,128,470409,"1개","글램디","10,900","1"
"2083940",2383026,7807097,70,476749,"색상:헬로_블루 / 1개","쉬즈홈","10,900","1"
"2084283",5885863,1643533,28,518753,"우산:팬콧|색상:64돔POE_옐로우 / 2개","나라라키즈","10,900","2"
"2084458",913905,10629737,55,543245,"1개","테팔(가전)","76,800","1"
"2084566",1797457,10949474,26,472461,"사이즈:235 / 1개","나이키","83,300","1"
"2084603",3478899,1663827,39,126832,"사이즈:280 / 1개","나이키","83,300","1"
"2084623",4657489,6071246,27,557949,"신발사이즈:240 / 1개","라코스테(슈즈)","83,300","1"
"2084672",762562,8192800,115,273083,"색상:51(블루)|사이즈:FREE / 1개","톰보이","83,400","1"
"2084880",6566240,1620462,79,805412,"2개","조르단","10,500","2"
"2084928",417727,9475783,30,795676,"종류:헬리 / 1개","로보카폴리","10,700","1"
"2085377",3993812,7270118,345,578970,"색상:화이트|사이즈:105 / 1개","테이트","10,900","1"
"2085565",5249394,8341735,115,377504,"기본:기본 / 1개","빌리프","76,000","1"
"2085603",3137805,8778034,82,309410,"색상/사이즈:곤색/XXL / 1개","데드라","76,290","1"
"2085651",4476359,6726507,26,3987,"1개","차앤박","78,000","1"
"2085658",4540869,8264719,43,314927,"제품번호:F97660|신발사이즈:265 / 1개","아디다스 오리지널","78,000","1"
"2085940",952642,10084441,83,572909,"얌박스 미니:미니3칸(칸느 블루)|얌박스 라지:라지4칸(카와이 핑크)|보냉가방:얌얌보냉가방 / 1개","얌박스","83,220","1"
"2085942",5199995,2779080,24,74466,"1개","어딕션(화장품)","86,000","1"
"2086022",519136,9921552,14,491152,"모델:리프디노7부|사이즈:120(5~6세) / 1개","마밤 오가닉","10,900","1"
"2086189",1598556,18304,63,56813,"색상:네이비|사이즈:150 / 1개","앤디애플","10,900","1"
"2086273",4324295,7650193,158,474567,"색상:PINK|사이즈:2Y(100) / 1개","에뜨와","11,000","1"
"2086276",4339244,2445220,37,108557,"색상:블랙|사이즈:F / 1개","비키","11,000","1"
"2086421",5390374,8246285,28,588645,"1개","클린앤클리어","11,000","1"
"2086503",2150655,9316800,17,4309,"1개","스펙트라","78,000","1"
"2086746",550279,9354026,25,791883,"1개","밤보","76,900","1"
"2086828",5671437,196088,250,559711,"1개","닥스ACC","86,400","1"
"2086869",395159,25435,36,10493,"색상:B28127(그린)|사이즈:240 / 1개","아디다스 오리지날","87,000","1"
"2087131",439628,10276386,100,828102,"1개","세라밴드","10,800","1"
"2087218",2367760,1895465,40,598143,"1개","스킵합","10,900","1"
"2087233",2460463,3201100,84,184472,"색상:네이비 / 1개","타카타카","10,900","1"
"2087366",6286401,5554076,33,658100,"1개","세이어스","10,930","1"
"2087586",2144215,9113186,115,361889,"색상:아이보리|사이즈:F / 1개","랩","11,000","1"
"2087766",1762279,9393281,52,3987,"3개","차앤박","78,000","3"
"2087787",2171622,7923557,40,274402,"선택:메이크업 베이스 / 1개","랑콤","78,000","1"
"2087915",1480905,9101715,23,326732,"색상:라이트그레이(11)|사이즈:L / 1개","버커루 브이아이피","80,190","1"
"2087958",2747606,10928215,37,533300,"사이즈:280 / 1개","나이키","80,600","1"
"2088019",1444604,10080755,60,6953,"옵션:S80411(M5/W7) / 1개","츄바스코","81,000","1"
"2088074",3615941,354644,43,783692,"1개","수인","83,000","1"
"2088253",648971,3955105,12,327862,"색상:블랙별꽃 민소매set|사이즈:FREE / 1개","서빈","10,900","1"
"2088308",1115623,8086256,65,675616,"선택:로션((C02T0000005606)) / 1개","싸이닉","10,900","1"
"2088395",1656912,8371840,30,427603,"품번:25.MDW7E05_T|사이즈:75A(90) / 1개","미싱도로시","10,900","1"
"2088407",1784639,2185128,28,470426,"1개","글램디","10,900","1"
"2088450",2035255,5653859,15,358716,"사이즈:L|모델명:MZ-J2MA600745-00 / 1개","미즈노","10,900","1"
"2088490",6035196,9914357,10,740205,"타입:0007.남/일반사계절/반팔라운드넥/블랙|사이즈:110 / 2개","기어엑스","10,900","2"
"2088526",6243698,7429342,16,675616,"선택:로션((C02T0000005606)) / 1개","싸이닉","10,900","1"
"2088781",2214005,7785204,64,280270,"색상:젯블랙(ZB)|사이즈:66(L) / 1개","에고이스트","79,000","1"
"2088918",2270496,3187182,430,136784,"스타일번호:AA0691-010|사이즈:085(L) / 1개","나이키(의류)","80,000","1"
"2089130",2764348,9594744,49,351191,"색상:블랙|사이즈:5/38 / 1개","락피쉬(구두)","84,550","1"
"2089219",1627826,9093446,377,593985,"사이즈:255 / 1개","반스","85,000","1"
"2089402",4592147,6043863,42,218780,"색상:선택01_블랙|사이즈:L / 1개","플루크","10,800","1"
"2089411",4755309,10037299,22,637779,"선택:블랙브라운(K311A) / 1개","키스미","10,800","1"
"2089443",2880529,4622687,51,744122,"색상:누드베이지(433)|사이즈:LL / 1개","아쯔기","10,900","1"
"2089496",3365756,10791584,7,2994,"1개","실리트","10,900","1"
"2089581",4037327,2119045,13,517242,"색상:OFF WHITE|사이즈:FREE / 2개","세컨스킨","10,900","2"
"2089895",5300134,40695,28,2438,"색상:314192_117|사이즈:250/7Y / 1개","나이키(슈즈)","78,000","1"
"2089921",5730864,4015592,254,429880,"size:6.5 / 1개","알도","78,000","1"
"2089934",5968549,559400,89,43112,"색상:남색|Size:100 / 1개","빈폴","78,000","1"
"2090019",519136,7070247,10,709283,"선택1:상의L|선택2:하의L / 1개","아르고(스포츠)","79,000","1"
"2090053",708118,2906698,28,791322,"1개","캉골","79,000","1"
"2090061",727668,2126634,18,843599,"색상:308 끌레르-옵스뀌 / 1개","샤넬","79,000","1"
"2090093",813674,10941433,105,630989,"직접입력2:[남성]GREEN|직접입력1:275 / 1개","트렉스타","79,000","1"
"2090096",831709,2035450,71,56044,"색상:10 베쥬 / 1개","샤넬","79,000","1"
"2090178",1540446,9150582,38,689779,"사이즈:090 / 1개","나이키","83,300","1"
"2090211",3846898,2434737,23,58971,"모델:선택01.CK0155|사이즈:095(M) / 1개","아디다스(퍼포먼스)","83,300","1"
"2090241",5054810,7326514,15,474552,"사이즈:270 / 1개","나이키","83,300","1"
"2090413",5522483,7149646,117,603986,"1개","비오템","85,000","1"
"2090468",2223861,1646546,48,169494,"1개","시크릿데이","10,900","1"
"2090491",2383026,7807097,70,476749,"색상:헬로_블랙 / 1개","쉬즈홈","10,900","1"
"2091025",3136983,9420006,12,336087,"1개","록시땅","77,000","1"
"2091066",4227824,7639854,37,586718,"1개","에스케이매직(생활)","77,000","1"
"2091131",3366152,1298574,98,772411,"색상선택:블랙 / 1개","이디고","77,350","1"
"2091242",5731035,6513972,92,195796,"사이즈:S(95) / 1개","프레드페리","82,600","1"
"2091309",5977634,8143252,77,346353,"사이즈:100 / 1개","헤지스남성","82,800","1"
"2091384",3603552,5030371,58,698153,"옵션:없음 / 1개","헤라","85,000","1"
"2091457",6077962,15082,124,413126,"색상선택:단일색상|사이즈선택:2XL / 1개","배럴","85,000","1"
"2091771",1762144,9837209,65,395119,"색상:블랙|사이즈:90 / 1개","테이트","10,900","1"
"2091783",2457951,7407643,197,376868,"색상:선택09_BK|사이즈:100 / 1개","폴햄","11,000","1"
"2092168",3393711,6083098,13,689884,"모델:156510 / 1개","클라란스","78,000","1"
"2092310",6069034,1093290,35,52043,"색상:남색|사이즈:145 / 1개","빈폴키즈","78,000","1"
"2092506",2293045,4923084,14,263663,"색상:블랙|사이즈:38 / 1개","클립","84,000","1"
"2092547",4082288,2014060,23,61061,"사이즈:02-270 / 1개","오니츠카타이거","84,000","1"
"2093099",1841055,9463106,120,800061,"색상:LDB501BR(브라운) / 1개","락앤락","11,000","1"
"2093187",5986592,6328069,116,345563,"색상:M그레이|사이즈:105 / 1개","젤리스푼","10,900","1"
"2093653",1433025,2810211,73,714243,"선택:260 / 1개","나이키(슈즈)","84,000","1"
"2093949",3718105,2480592,277,78183,"사이즈:82 / 1개","카이아크만(캐주얼)","10,600","1"
"2093956",4575623,9084747,31,727135,"색상:네이비|사이즈:160 / 1개","애플핑크","10,600","1"
"2094119",3619030,4593029,78,361889,"색상:아이보리|사이즈:F / 1개","랩","11,000","1"
"2094205",4206574,6056677,34,529687,"색상:화이트|사이즈:XL(95) / 1개","린다","11,000","1"
"2094408",1427095,7575059,51,572972,"1개","꼬달리","79,000","1"
"2094562",1276895,4879886,33,826029,"1개","필립스(PHILIPS)","79,000","1"
"2094629",2156860,5888944,81,618174,"색상:어드밴스 1테라 블랙 / 1개","도시바","85,110","1"
"2094727",2700105,10005358,7,515890,"상품명:430508/04(April) / 1개","노미네이션","86,000","1"
"2094740",5199995,2772925,91,74466,"1개","어딕션(화장품)","86,000","1"
"2095024",629436,6124390,118,412060,"색상:선택02_블랙|사이즈:XL / 1개","플루크","10,800","1"
"2095274",1072858,2962553,220,361887,"색상:그레이|사이즈:F / 1개","랩","11,000","1"
"2095369",2144215,9113186,115,361886,"색상:화이트|사이즈:F / 1개","랩","11,000","1"
"2095428",5257848,7619501,48,462013,"사이즈:[7부]플라워래빗 150호 (ⓑ7J19-150ⓒ) / 1개","미니케이","10,900","1"
"2095713",3969161,4064232,60,122826,"색상:검정색|사이즈:255 / 1개","빈폴","85,400","1"
"2095854",1496613,5688419,96,432488,"색상:PNK|사이즈:085 / 1개","아레나(수영복)","84,000","1"
"2095916",4270436,3964925,57,361479,"1개","랑방(패션잡화)","84,000","1"
"2095936",5583106,6216647,55,250722,"사이즈:260[M8/W10] / 1개","츄바스코","84,000","1"
"2095981",3856218,9732612,25,6953,"옵션:S80421J(M9/W11) / 1개","츄바스코","84,500","1"
"2096142",4987120,9357189,19,706814,"상품명:매일두유 99.89 190ml 24팩 / 1개","매일","10,500","1"
"2096539",2548300,10930475,64,490401,"색상:WWW|사이즈:100(L) / 1개","엠폴햄","11,000","1"
"2096684",2102861,2853627,2,253151,"사이즈:073 / 1개","헤지스레이디스","76,050","1"
"2096889",96919,2835787,380,741981,"색상:G041887(라이트) / 1개","겔랑","85,000","1"
"2097206",2074234,5428175,125,697144,"색상:블랙|사이즈:Size1 / 1개","고스트리퍼블릭","10,900","1"
"2097248",2460463,3332657,21,143401,"색상:S / 레몬브라운 / 2개","바숨","10,900","2"
"2097255",2550520,5384609,21,270381,"색상/사이즈:블랙/FREE / 1개","제쉬나인","10,900","1"
"2097305",5257848,7619501,48,462074,"사이즈:[7부]라마 150호 (ⓑ7J18-150ⓒ) / 1개","미니케이","10,900","1"
"2097584",567629,9567184,89,459297,"색상:화이트-PPOEURS91PC2|사이즈:M / 1개","팬콧","11,000","1"
"2097674",3068539,9223366,154,632775,"색상:블루|사이즈:75A. / 1개","보디가드","11,000","1"
"2097729",518341,7058789,30,360173,"사이즈:95|스타일:선택2+선택6 / 1개","에스티듀퐁(셔츠)","80,000","1"
"2097887",643533,5753244,68,172568,"색상:화이트|사이즈:220 / 1개","스닉솔","79,200","1"
"2097947",3864493,6108700,23,506730,"사이즈:290 / 1개","탐스","79,200","1"
"2098123",5895349,2638577,51,178038,"SIZE:95(66) / 1개","빈폴레이디스","83,300","1"
"2098247",921194,4989752,28,329039,"사이즈:105 / 1개","비와이씨","10,900","1"
"2098263",1024174,9039321,67,785118,"옵션선택:가드니아향 / 1개","아이너바움","10,900","1"
"2098348",1674532,2141095,21,106054,"1개","글램디","10,900","1"
"2098452",2367760,1895465,40,598148,"1개","스킵합","10,900","1"
"2098565",1901431,7744167,18,297895,"선택사항:화이트네이비-24호 / 1개","지맥스","11,000","1"
"2098702",2550520,7778868,227,529687,"색상:화이트|사이즈:L(90) / 1개","린다","11,000","1"
"2098778",3068539,4964249,39,127566,"사이즈:90|색상:베이지(BE) / 1개","예스","11,000","1"
"2098928",1301844,5005768,29,279274,"색상:여RFSO8E119 W3|사이즈:네로우35(225mm) / 1개","버켄스탁","78,480","1"
"2098965",6099845,9890070,52,572701,"선택:(영실업) LOL 빅 서프라이즈 / 1개","영실업","78,900","1"
"2099161",6469745,1194410,93,721324,"색상:737 프레피 누드 / 1개","디올","85,000","1"
"2099234",5453501,2247941,172,731191,"색상:black|사이즈:us6 / 1개","핏플랍","85,900","1"
"2099586",5675168,6822432,23,831981,"2개","뉴트로지나","10,900","2"
"2099734",6134445,1763540,44,759669,"선택:종근당멀티비타민(포맨) / 1개","종근당 건강","10,900","1"
"2099860",4360770,1546001,438,27763,"색상:블랙|사이즈:F / 1개","오조크","11,000","1"
"2099946",2696397,9223993,79,8332,"1개","하이웰","78,400","1"
"2100022",27238,8064471,165,451129,"색상:라이트블루|사이즈:55 / 1개","씨씨콜렉트","79,000","1"
"2100126",5248544,8253979,29,674014,"색상:B10 포셀린 / 1개","입생로랑","79,000","1"
"2100294",1960095,10699343,39,530737,"남성_I:275 / 1개","나이키(슈즈)","83,000","1"
"2100296",2093157,9572742,57,441722,"사이즈:XS / 1개","아디다스","83,000","1"
"2100316",2962212,779266,32,736958,"색상:3.5 / 1개","조르지오 아르마니","83,000","1"
"2100317",2962212,2129903,218,736958,"색상:3.5 / 1개","조르지오 아르마니","83,000","1"
"2100430",1447862,4775590,10,130966,"사이즈:270 / 1개","나이키","83,300","1"
"2100544",5428923,7147805,10,400151,"색상/사이즈:DY/130 / 1개","섀르반","10,750","1"
"2100560",115714,6222861,36,462238,"선택:유아퍼즐 동물 / 1개","핑크퐁","10,800","1"
"2100774",2852956,9162193,2,400876,"색상:선택07_그레이|사이즈:M / 1개","플루크","11,000","1"
"2100874",3596930,9405791,56,658100,"1개","세이어스","10,930","1"
"2101005",740511,3816155,54,116342,"상의색상:LGR|상의사이즈:100 / 1개","탑텐","11,000","1"
"2101097",5317888,7000829,153,274400,"선택:밀키 브라이트 / 1개","랑콤","78,000","1"
"2101122",5852206,469595,338,699800,"색상:GY(그레이)|사이즈:145 / 1개","빈","78,000","1"
"2101135",6125530,6156073,48,662001,"1개","헬스익스텐션","78,000","1"
"2101469",5990084,6621483,58,242681,"색상:BLACK / 1개","루이까또즈","88,800","1"
"2101498",27238,8328592,283,476869,"색상:그레이|사이즈:free / 1개","지컷","89,000","1"
"2101883",3373997,10790003,93,456996,"색상:화이트|사이즈:F / 1개","플라스틱아일랜드스토리","11,000","1"
"2101905",3539059,6127442,27,361889,"색상:아이보리|사이즈:F / 1개","랩","11,000","1"
"2102067",3973531,4636586,288,157681,"1개","텐바이텐","10,900","1"
"2102099",4206574,4453436,111,121655,"색상옵션:블랙|사이즈▽:Free / 1개","오드","10,900","1"
"2102200",872858,3960800,49,427063,"색상:네이비|사이즈:105 ◈75613906◈ / 1개","BRENTWOOD","79,500","1"
"2102244",4555155,3531550,6,121561,"색상:B37453(블랙)|사이즈:275 / 1개","아디다스 오리지날","79,000","1"
"2102387",6137114,2429411,54,112245,"단일상품:단일상품 / 1개","이지듀","79,000","1"
"2102548",202860,1807876,85,74456,"색상:(29)Burgundy|사이즈:110 / 1개","뉴발란스키즈","89,000","1"
"2102658",3773819,4143918,37,184429,"사이즈:250 / 1개","나이키","87,200","1"
"2102660",4001741,5667775,139,783890,"사이즈:235 / 1개","나이키","87,200","1"
"2102755",6135735,4970391,46,477716,"사이즈:110 / 1개","모다까리나","10,800","1"
"2102854",623384,2453729,254,62740,"컬러:블랙|사이즈:S / 1개","후아유","10,900","1"
"2102897",967048,7916077,43,563245,"색상:블랙 / 4개","바보사랑","10,900","4"
"2103216",4570091,8112519,162,331158,"색상:선택04_DGN|사이즈:82(32) / 1개","폴햄","11,000","1"
"2103410",1034433,3519642,111,640595,"직접입력1:D.그라데이션바구니 대4소4 뚜껑포함 / 1개","아이팜","79,800","1"
"2103448",4507924,7078096,29,448136,"1개","후스앤후스","79,800","1"
"2103493",3039899,9470862,82,398331,"타입:에센셜(중건성용) / 1개","헤라","88,000","1"
"2103503",3687820,7737437,18,585060,"타입:리프레싱(지복합성용) / 1개","헤라","88,000","1"
"2103541",5288199,9876942,177,683582,"색상:그린(GR)|사이즈:FREE / 1개","에고이스트","88,000","1"
"2103604",4436775,3503089,117,696632,"색상:TFMQ2OZE11A0Y39|사이즈:02 / 1개","타미힐피거여성","88,500","1"
"2103632",1634316,2136535,130,126901,"상의색상:G40(클로버카키)|상의사이즈:L(105) / 1개","타미힐피거","88,800","1"
"2103668",6357631,4664486,64,126902,"바지사이즈:30 / 1개","타미힐피거","88,800","1"
"2103833",6468285,6575991,50,845176,"색상:그레이 / 1개","버드시아","10,900","1"
"2103978",2460463,3332657,21,143401,"색상:S / 라인 / 2개","바숨","10,900","2"
"2104047",4658241,3014642,32,669276,"색상:[버블]핑크 / 1개","한스펌킨","11,000","1"
"2104225",6052538,4696576,25,244484,"색상:블랙|사이즈:F / 1개","지지피엑스","11,000","1"
"2104257",6290342,4673499,78,341203,"선택:2. 데시소2+1 / 1개","카피탈리","11,000","1"
"2104471",6526086,70717,34,27495,"사이즈:01-255 / 1개","나이키(슈즈)","79,900","1"
"2104597",3068539,10143625,165,380041,"색상:블루|사이즈:55 / 1개","잇미샤","83,300","1"
"2104598",3068539,10155097,64,380041,"색상:블루|사이즈:55 / 1개","잇미샤","83,300","1"
"2104602",3246516,2767084,398,278473,"사이즈:275 / 1개","나이키","83,300","1"
"2104655",6243023,1243216,214,767941,"1개","지니펫","83,300","1"
"2104656",6268312,2813744,52,287205,"사이즈:085(S) / 1개","노스페이스","83,300","1"
"2104733",1977712,5794213,77,806907,"색상:블랙|사이즈:265 / 1개","엠 미소페","82,000","1"
"2104765",2843330,10808008,18,758353,"색상:핑크 5cm|사이즈:250 / 1개","엘리자벳","82,000","1"
"2105061",4222961,6700735,38,675616,"선택:로션((C02T0000005606)) / 1개","싸이닉","10,900","1"
"2105074",4310522,4218890,29,476749,"색상:테이크_블루 / 1개","쉬즈홈","10,900","1"
"2105267",1577663,8700094,65,425883,"색상:화이트|사이즈:F / 1개","랩","11,000","1"
"2105423",1116372,2541189,14,529238,"색상:OFF WHITE|사이즈:FREE / 1개","세컨스킨","11,000","1"
"2105534",1907758,10365096,48,492401,"신발색상:블랙|신발사이즈:180mm(US9) / 1개","토박스","79,000","1"
"2105736",5086594,4577946,83,601054,"사이즈:M / 1개","빌라봉","84,550","1"
"2105762",2566907,3131444,246,589889,"사이즈:270 / 1개","나이키(슈즈)","84,900","1"
"2105782",337034,3080486,22,638894,"기본:차량용 디퓨저 케이스 / 1개","딥티크","85,000","1"
"2105811",1104088,2273692,41,77675,"색상:KHAKI(카키)|사이즈:85 / 1개","블랙야크","85,000","1"
"2105874",519136,3738260,50,801002,"1개","다이치","89,000","1"
"2106016",3438419,9568494,11,751410,"선택:블랙(K356A) / 2개","키스미","10,800","2"
"2106220",280787,9410032,25,675616,"선택:로션((C02T0000005606)) / 1개","싸이닉","10,900","1"
"2106491",4206574,6056677,34,529687,"색상:블랙|사이즈:XL(95) / 1개","린다","11,000","1"
"2106796",4555155,3609406,2,121561,"색상:B37453(블랙)|사이즈:275 / 1개","아디다스 오리지날","79,000","1"
"2107043",2145365,9555644,8,496261,"사이즈:M(100) / 1개","타미힐피거","88,000","1"
"2107047",4759152,4563876,59,317407,"색상:F/PH (파이어 피온) / 1개","키플링","85,000","1"
"2107049",4781063,7186672,32,250696,"사이즈:270[M9/W11] / 1개","츄바스코","85,000","1"
"2107272",612870,5949608,31,4977,"타입/사이즈:D형 95 / 1개","판도라 바이 비비안","10,900","1"
"2107370",2274047,9712807,100,369487,"색상:화이트|사이즈:F / 1개","보니알렉스","11,000","1"
"2107374",2344805,8565960,77,587446,"1개","피카소 메이크업 브러쉬","11,000","1"
"2107484",3911840,1681119,15,168542,"색상:발광코랄 / 2개","16브랜드","11,000","2"
"2107666",1537142,8006427,74,349483,"단일상품:단일상품 / 1개","DASHING DIVA","79,900","1"
"2107788",959867,2546173,72,376994,"하의:3번 711 D그레이 86호|상의:1번 241 네이비 105호 / 1개","클리브랜드","82,200","1"
"2107916",4756567,6948667,3,210113,"색상:화이트(N00)|사이즈:XL / 1개","타미진","87,500","1"
"2108104",2274047,7292309,47,601172,"사이즈:3-4Y / 1개","엘리라후리프유","88,000","1"
"2108118",2726364,8692045,169,459658,"디자인:02.WEO1802KP41|사이즈:225 / 1개","레노마","88,000","1"
"2108249",967048,8230851,35,563245,"색상:블랙 / 1개","바보사랑","10,900","1"
"2108255",1074010,9544209,56,595884,"캐릭터:콘 / 1개","카카오프렌즈","10,900","1"
"2108293",1251632,2793779,32,284330,"옵션:05 6N 밝은갈색 2개 / 1개","미쟝센","10,900","1"
"2108319",1536475,3723148,308,239176,"색상:골고루 / 1개","바보사랑","10,900","1"
"2108678",4691646,3775012,117,354280,"색상:그린|사이즈:F / 1개","플라스틱아일랜드스토리","11,000","1"
"2108850",4013497,9400167,87,735796,"색상:블랙(DISC black) / 1개","타보레","79,500","1"
"2109225",4593723,2877415,74,9590,"1개","로얄캐닌","83,000","1"
"2109246",5721745,5835508,162,436177,"색상:Q1Y[블루]|사이즈:005(105) / 1개","라코스테스포츠","83,000","1"
"2109266",5324955,6239921,54,406960,"사이즈:100 / 1개","빈폴아웃도어","83,100","1"
"2109331",5186433,4009757,52,186440,"색상:선택01_SKP|사이즈:95 / 1개","탑텐","10,900","1"
"2109336",5257848,7619501,48,462260,"사이즈:[7부]베이커리 160호 (ⓑ7J16-160ⓒ) / 1개","미니케이","10,900","1"
"2109485",3133295,7114605,56,471911,"1개","코시","10,900","1"
"2109530",3429459,6440987,135,554175,"직접입력1:곰/민트 / 1개","애디스","10,900","1"
"2110178",1368471,9298228,42,380792,"색상:2호 / 1개","조르지오 아르마니","89,000","1"
"2110347",2594700,5062566,32,402085,"옵션선택1:ONE SIZE / 1개","코치(잡화)","89,000","1"
"2110371",5154046,8425577,69,334253,"타입:에센셜(중건성용) / 1개","헤라","88,000","1"
"2110467",910923,1027316,77,680067,"상품명:미모사 샴푸1+린스1 / 1개","애경","10,900","1"
"2110580",1784639,2185128,28,469530,"1개","글램디","10,900","1"
"2110706",4598409,3310695,26,804452,"1개","마더케이","11,000","1"
"2110804",4422775,8168606,38,329039,"사이즈:105 / 1개","비와이씨","10,900","1"
"2110822",4619476,2470328,139,654335,"1개","대림바스","10,900","1"
"2110844",4730035,10823726,279,808751,"색상:화이트|사이즈:XL / 1개","앨빈클로","10,900","1"
"2111427",3734530,1763467,16,703040,"1개","일렉트로룩스","86,810","1"
"2111446",5408073,4235067,24,685696,"색상:JAWA7F881N2|사이즈:선택사항참조 / 1개","질스튜어트","86,940","1"
"2111785",5053686,10441054,58,772877,"1개","롭스","11,000","1"
"2112067",4220881,8197568,15,697695,"색상:TMMR2PQE09D0W30|사이즈:34 / 1개","타미힐피거","82,800","1"
"2112163",3435773,3574112,42,321696,"단일상품:단일상품 / 1개","맥스클리닉","79,900","1"
"2112186",4075910,210769,208,11810,"색상:D/GREY|사이즈:M / 1개","미쏘","79,900","1"
"2112221",5810239,10160756,28,407872,"단일상품:단일상품 / 1개","DERMA CLASSEN","79,900","1"
"2112598",5181919,6443533,49,213192,"1개","르크루제","87,600","1"
"2112606",5929266,48919,148,593879,"사이즈:100 / 1개","헤지스남성","87,600","1"
"2112664",3068539,8962453,93,10041,"사이즈(상의/하의):검정 85/90 / 1개","크리비아","10,900","1"
"2112676",2523615,9977232,31,479149,"색상:네이비|사이즈:L / 2개","폴앤폴","10,800","2"
"2112729",3618400,8083451,43,751421,"선택:롱앤컬(K301A) / 1개","키스미","10,800","1"
"2112769",4575623,9308471,22,584016,"선택1:4호 앵두(L035A)|선택2:1호 복숭아(L032A) / 1개","릴리바이레드","10,800","1"
"2112955",2550520,7214422,38,354280,"색상:그린|사이즈:F / 1개","플라스틱아일랜드스토리","11,000","1"
"2113063",6193868,10892684,10,491110,"모델:코지플라워7부|사이즈:140(9~10세) / 1개","마밤 오가닉","10,900","1"
"2113156",2144215,9113186,115,425883,"색상:블랙|사이즈:F / 1개","랩","11,000","1"
"2113463",731821,10587451,78,458139,"1개","비오템","82,000","1"
"2113710",5913226,6113001,24,260467,"남성/여성:남-XL(100)/여-F(55~66) / 1개","쁘띠쁘랑","82,500","1"
"2114039",3735857,5986685,16,692709,"색상:야광 블루 / 1개","엘라고","11,120","1"
"2114052",4365142,2055690,52,692709,"색상:다크그레이 / 1개","엘라고","11,120","1"
"2114307",4227824,3795374,26,667092,"1개","신일","79,500","1"
"2114423",3731951,773377,63,808667,"색상:와인|사이즈:240_5cm / 1개","고세","79,800","1"
"2114435",4129157,8295913,76,360173,"사이즈:105|스타일:선택3+선택3 / 1개","에스티듀퐁(셔츠)","80,000","1"
"2115003",3861966,8597508,40,511415,"1개","이니스프리","10,800","1"
"2115004",3871092,4438354,85,831784,"제품선택:리필 450ml (레몬)x3개 / 1개","라이온코리아","10,800","1"
"2115044",4755309,10010978,14,637779,"선택:블랙브라운(K311A) / 1개","키스미","10,800","1"
"2115049",4787433,4302583,16,620708,"색상:23호+브러쉬[HZBTA0191A] / 1개","한스킨","10,800","1"
"2115088",5593060,6801452,33,412060,"색상:선택03_블랙|사이즈:M / 1개","플루크","10,800","1"
"2115395",1721934,9488256,53,830096,"1개","더독","11,000","1"
"2115491",1171503,6624448,3,445767,"색상:블랙|사이즈:66 ◈84401605◈ / 1개","베스띠벨리","79,800","1"
"2115649",4427014,9994430,68,616414,"제품선택:그레이 / 1개","까사미아까사온","79,900","1"
"2115910",1641511,797868,288,108156,"색상:그린|사이즈:100 / 1개","뉴발란스(키즈)","89,000","1"
